,Locality,Zone,Estimated_Households,Income_Index,Population_Density_Index,Online_Grocery_Index,Delivery_Accessibility_Index,Competition_Index,Transit_Accessibility_Index,Demand_Index,Commercial_Rent_Index,Expansion_Score,Priority_Tier
1,Rohini,North-West,53751,66.6,77,76.7,67.2,55.4,67,73.4,87.4,67.8,Watchlist
2,Pitampura,North-West,51479,66,85.6,82.4,65.1,52.5,57.4,75.1,77.8,68,Watchlist
3,Shalimar Bagh,North-West,52681,52.9,74.9,68.4,73.8,41.4,67.6,62.1,77.2,62.4,Watchlist
4,Model Town,Central,64949,48.4,85.2,87.4,72.3,65.3,84.3,73.1,77.5,68.6,Watchlist
5,Civil Lines,Central,64954,64.4,93.3,73,77.1,81.3,88.2,78.9,83.5,68.6,Watchlist
6,Kamla Nagar,Central,51319,79.3,62.8,95.2,70.9,83.5,98,74,95.4,75.3,Priority 2
7,Mukherjee Nagar,Central,54641,79.3,81.8,87.4,75.6,60.2,98,78.7,95.1,78.6,Priority 1
8,GTB Nagar,Central,54036,71.5,82.1,79.3,59.9,71.7,72.3,75.6,74.5,68.5,Watchlist
9,Vijay Nagar,Central,60799,65.1,83.8,87.6,73.6,76.5,98,79.8,85.2,74.4,Priority 2
10,Hudson Lane,Central,53226,78.4,80.1,92.1,55.3,79.8,79,72.6,91.9,71.2,Priority 2
11,Kingsway Camp,Central,54958,73.4,83.6,87.2,71.5,88.4,95.6,77.3,81.9,72.7,Priority 2
12,Burari,Central,54934,60.9,65.3,84.4,69.9,83.2,97,71,82.4,69.2,Watchlist
13,Sant Nagar,Central,47886,70,80.3,79.8,62.1,81.7,64.3,74.9,75.4,65.3,Watchlist
14,Timarpur,Central,54569,78,72.1,76.5,75.7,85.6,96.6,75.9,96,71.5,Priority 2
15,Wazirabad,Central,57649,72.3,84,84.2,63.8,77.1,83.1,78.2,96,71.6,Priority 2
16,Janakpuri,West,49482,86,73.3,89.1,60.4,69.3,52.6,78.9,94.2,70.6,Priority 2
17,Dwarka Sector 6,West,52366,81.1,71.7,83.4,67,48.4,69.2,82.1,76.9,75.6,Priority 2
18,Dwarka Sector 10,West,41207,57.8,64,76.2,47.9,73.9,71.1,65.6,76.7,61.9,Low Priority
